datetime,mdn,voice_balance,messaging_balance,data_balance
2020-05-23 16:08:04.346270,1234567890,-1,-1,2247
2020-05-23 16:23:34.642014,1234567890,-1,-1,2247
2020-05-23 16:25:30.482800,1234567890,-1,-1,2247
2020-05-23 16:27:54.622969,1234567890,-1,-1,2247
